ComplaintText,Category,Urgency,Area,Latitude,Longitude
Vehicles are getting stuck due to a pothole on the stretch near Gokak Road Extension.,Pothole,Medium,Gokak Road Extension,15.33528,75.098015
A big pothole near Kinnal Road Layout is causing traffic jams and minor accidents.,Pothole,Low,Kinnal Road Layout,15.384776,75.128451
Severe road damage with deep potholes at Dharwad Road Phase 2 — two-wheeler riders are at risk.,Pothole,High,Dharwad Road Phase 2,15.353196,75.147439
A big pothole near Rajiv Gandhi Circle Colony is causing traffic jams and minor accidents.,Pothole,Low,Rajiv Gandhi Circle Colony,15.347305,75.108472
Severe road damage with deep potholes at Hubballi Railway Station Phase 1 — two-wheeler riders are at risk.,Pothole,Low,Hubballi Railway Station Phase 1,15.387748,75.117883
Vehicles are getting stuck due to a pothole on the stretch near Sana Market Colony.,Pothole,High,Sana Market Colony,15.390493,75.145376
A big pothole near Mahadevapura Extension is causing traffic jams and minor accidents.,Pothole,Low,Mahadevapura Extension,15.336187,75.137694
Severe road damage with deep potholes at Akash Nagar Market — two-wheeler riders are at risk.,Pothole,Low,Akash Nagar Market,15.386544,75.142145
A big pothole near Basaveshwar Nagar Circle is causing traffic jams and minor accidents.,Pothole,Low,Basaveshwar Nagar Circle,15.341186,75.14583
A big pothole near Shankar Sheth Road Phase 2 is causing traffic jams and minor accidents.,Pothole,Medium,Shankar Sheth Road Phase 2,15.389807,75.11448
A big pothole near Bendre Layout Phase 1 is causing traffic jams and minor accidents.,Pothole,Medium,Bendre Layout Phase 1,15.374302,75.117408
A big pothole near Jubilee Circle Phase 1 is causing traffic jams and minor accidents.,Pothole,Low,Jubilee Circle Phase 1,15.351447,75.131989
Vehicles are getting stuck due to a pothole on the stretch near Shanti Nagar Junction.,Pothole,Low,Shanti Nagar Junction,15.366873,75.149854
Severe road damage with deep potholes at Vidyagiri Block — two-wheeler riders are at risk.,Pothole,Medium,Vidyagiri Block,15.392452,75.109428
Vehicles are getting stuck due to a pothole on the stretch near Hubballi Railway Station Park.,Pothole,Medium,Hubballi Railway Station Park,15.378413,75.112321
Vehicles are getting stuck due to a pothole on the stretch near Sindgi Cross Colony.,Pothole,High,Sindgi Cross Colony,15.38867,75.104905
Vehicles are getting stuck due to a pothole on the stretch near Karnataka Bank Junction.,Pothole,Medium,Karnataka Bank Junction,15.365895,75.141891
Vehicles are getting stuck due to a pothole on the stretch near Kinnal Road Block.,Pothole,Low,Kinnal Road Block,15.378922,75.105322
A big pothole near Station Road Park is causing traffic jams and minor accidents.,Pothole,Low,Station Road Park,15.389946,75.130889
A big pothole near Sukhsagar Junction is causing traffic jams and minor accidents.,Pothole,Low,Sukhsagar Junction,15.352719,75.112057
Severe road damage with deep potholes at Tilakwadi Block — two-wheeler riders are at risk.,Pothole,Medium,Tilakwadi Block,15.352439,75.101137
Vehicles are getting stuck due to a pothole on the stretch near Station Road Market.,Pothole,Low,Station Road Market,15.375339,75.147668
Vehicles are getting stuck due to a pothole on the stretch near Sana Market Phase 1.,Pothole,Medium,Sana Market Phase 1,15.367576,75.093524
A big pothole near Jubilee Circle Bazaar is causing traffic jams and minor accidents.,Pothole,Medium,Jubilee Circle Bazaar,15.369499,75.132782
Severe road damage with deep potholes at Shankar Sheth Road Cross — two-wheeler riders are at risk.,Pothole,Medium,Shankar Sheth Road Cross,15.347522,75.121891
Vehicles are getting stuck due to a pothole on the stretch near Rajiv Gandhi Circle Colony.,Pothole,Medium,Rajiv Gandhi Circle Colony,15.339788,75.124427
Vehicles are getting stuck due to a pothole on the stretch near Cotton Market Circle.,Pothole,Medium,Cotton Market Circle,15.383805,75.138568
Severe road damage with deep potholes at Appa Ghar Block — two-wheeler riders are at risk.,Pothole,Medium,Appa Ghar Block,15.346648,75.094966
Severe road damage with deep potholes at Shivalli Circle Market — two-wheeler riders are at risk.,Pothole,Low,Shivalli Circle Market,15.380809,75.120825
Vehicles are getting stuck due to a pothole on the stretch near Cotton Market Main Road.,Pothole,Medium,Cotton Market Main Road,15.376481,75.123163
A big pothole near Shivalli Circle Extension is causing traffic jams and minor accidents.,Pothole,Low,Shivalli Circle Extension,15.335033,75.138558
A big pothole near Shivanahalli Bazaar is causing traffic jams and minor accidents.,Pothole,Low,Shivanahalli Bazaar,15.34783,75.141747
Vehicles are getting stuck due to a pothole on the stretch near Kinnal Road Street.,Pothole,Medium,Kinnal Road Street,15.368144,75.148548
Severe road damage with deep potholes at Vidyagiri Junction — two-wheeler riders are at risk.,Pothole,High,Vidyagiri Junction,15.362579,75.125368
Vehicles are getting stuck due to a pothole on the stretch near Gokak Road Layout.,Pothole,Medium,Gokak Road Layout,15.380015,75.120054
Vehicles are getting stuck due to a pothole on the stretch near Bendre Layout Extension.,Pothole,Low,Bendre Layout Extension,15.360304,75.147911
A big pothole near Gandhinagar Park is causing traffic jams and minor accidents.,Pothole,Low,Gandhinagar Park,15.36318,75.109051
Vehicles are getting stuck due to a pothole on the stretch near Shivalli Circle Block.,Pothole,Medium,Shivalli Circle Block,15.38136,75.122576
Severe road damage with deep potholes at Lamington Road Junction — two-wheeler riders are at risk.,Pothole,Medium,Lamington Road Junction,15.377513,75.10757
Severe road damage with deep potholes at Akash Nagar Block — two-wheeler riders are at risk.,Pothole,Low,Akash Nagar Block,15.339535,75.10255
Vehicles are getting stuck due to a pothole on the stretch near Mahamane Layout Layout.,Pothole,High,Mahamane Layout Layout,15.347537,75.118392
Vehicles are getting stuck due to a pothole on the stretch near Kamalakshi Layout Bazaar.,Pothole,Medium,Kamalakshi Layout Bazaar,15.338436,75.143473
Vehicles are getting stuck due to a pothole on the stretch near Mahamane Layout Bazaar.,Pothole,Low,Mahamane Layout Bazaar,15.335872,75.146339
Severe road damage with deep potholes at Moti Talav Junction — two-wheeler riders are at risk.,Pothole,Medium,Moti Talav Junction,15.391264,75.111417
Severe road damage with deep potholes at Shanti Nagar Extension — two-wheeler riders are at risk.,Pothole,Low,Shanti Nagar Extension,15.378778,75.141492
Severe road damage with deep potholes at Idgah Ground Phase 1 — two-wheeler riders are at risk.,Pothole,Medium,Idgah Ground Phase 1,15.36085,75.095241
Vehicles are getting stuck due to a pothole on the stretch near Akash Nagar Main Road.,Pothole,Low,Akash Nagar Main Road,15.358959,75.103403
A big pothole near Shankar Sheth Road Block is causing traffic jams and minor accidents.,Pothole,Low,Shankar Sheth Road Block,15.366747,75.147916
Vehicles are getting stuck due to a pothole on the stretch near Police Colony Park.,Pothole,Low,Police Colony Park,15.339737,75.119217
A big pothole near KHB Colony Street is causing traffic jams and minor accidents.,Pothole,High,KHB Colony Street,15.357446,75.1062
Severe road damage with deep potholes at Kamalakshi Layout Junction — two-wheeler riders are at risk.,Pothole,Low,Kamalakshi Layout Junction,15.357448,75.138621
Severe road damage with deep potholes at Harolal Road Cross — two-wheeler riders are at risk.,Pothole,Medium,Harolal Road Cross,15.339614,75.094663
A big pothole near Ring Road Lane is causing traffic jams and minor accidents.,Pothole,Low,Ring Road Lane,15.355698,75.132509
Vehicles are getting stuck due to a pothole on the stretch near Vasavi Colony Junction.,Pothole,High,Vasavi Colony Junction,15.336562,75.108337
A big pothole near Harolal Road Junction is causing traffic jams and minor accidents.,Pothole,Low,Harolal Road Junction,15.349013,75.121914
Vehicles are getting stuck due to a pothole on the stretch near Vidyagiri Lane.,Pothole,Low,Vidyagiri Lane,15.362602,75.108875
A big pothole near Vidyanagar Layout is causing traffic jams and minor accidents.,Pothole,Low,Vidyanagar Layout,15.392524,75.136601
A big pothole near Vasavi Colony Phase 2 is causing traffic jams and minor accidents.,Pothole,Low,Vasavi Colony Phase 2,15.341186,75.095041
Vehicles are getting stuck due to a pothole on the stretch near Gokul Complex Junction.,Pothole,Low,Gokul Complex Junction,15.39219,75.117299
A big pothole near Karnataka Bank Junction Lane is causing traffic jams and minor accidents.,Pothole,High,Karnataka Bank Junction Lane,15.376137,75.131135
Vehicles are getting stuck due to a pothole on the stretch near Hubballi Railway Station Main Road.,Pothole,Low,Hubballi Railway Station Main Road,15.385718,75.129525
Vehicles are getting stuck due to a pothole on the stretch near Vidyagiri Circle.,Pothole,Low,Vidyagiri Circle,15.355532,75.119203
A big pothole near Vidyanagar Junction is causing traffic jams and minor accidents.,Pothole,Low,Vidyanagar Junction,15.355174,75.144475
Severe road damage with deep potholes at Bendre Layout Layout — two-wheeler riders are at risk.,Pothole,High,Bendre Layout Layout,15.392347,75.131635
Severe road damage with deep potholes at Bendre Layout Bazaar — two-wheeler riders are at risk.,Pothole,Low,Bendre Layout Bazaar,15.360829,75.137528
Severe road damage with deep potholes at Khanapur Road Park — two-wheeler riders are at risk.,Pothole,Low,Khanapur Road Park,15.389877,75.139978
Severe road damage with deep potholes at Shankar Sheth Road Cross — two-wheeler riders are at risk.,Pothole,Low,Shankar Sheth Road Cross,15.370248,75.112838
A big pothole near Shivalli Circle Cross is causing traffic jams and minor accidents.,Pothole,Medium,Shivalli Circle Cross,15.361748,75.138529
Vehicles are getting stuck due to a pothole on the stretch near Moti Talav Block.,Pothole,Low,Moti Talav Block,15.354884,75.123158
A big pothole near Kamalakshi Layout Layout is causing traffic jams and minor accidents.,Pothole,Medium,Kamalakshi Layout Layout,15.355989,75.109001
Vehicles are getting stuck due to a pothole on the stretch near Jubilee Circle Phase 2.,Pothole,Low,Jubilee Circle Phase 2,15.351276,75.094109
A big pothole near Hosayellapur Phase 1 is causing traffic jams and minor accidents.,Pothole,Medium,Hosayellapur Phase 1,15.359086,75.126811
Vehicles are getting stuck due to a pothole on the stretch near Lamington Road Park.,Pothole,Medium,Lamington Road Park,15.377411,75.12039
A big pothole near Gokul Complex is causing traffic jams and minor accidents.,Pothole,Medium,Gokul Complex,15.358964,75.108098
Vehicles are getting stuck due to a pothole on the stretch near Sukhsagar Junction.,Pothole,Medium,Sukhsagar Junction,15.367908,75.114125
Vehicles are getting stuck due to a pothole on the stretch near Ramnagar Block.,Pothole,Medium,Ramnagar Block,15.376871,75.109755
A big pothole near Shivalli Circle Layout is causing traffic jams and minor accidents.,Pothole,High,Shivalli Circle Layout,15.346255,75.100673
Vehicles are getting stuck due to a pothole on the stretch near Court Road Bazaar.,Pothole,Medium,Court Road Bazaar,15.347683,75.122552
Vehicles are getting stuck due to a pothole on the stretch near Karnataka Bank Junction Park.,Pothole,Low,Karnataka Bank Junction Park,15.366178,75.11048
A big pothole near Hubballi Railway Station Lane is causing traffic jams and minor accidents.,Pothole,Medium,Hubballi Railway Station Lane,15.356353,75.111636
Vehicles are getting stuck due to a pothole on the stretch near Patel Road Colony.,Pothole,High,Patel Road Colony,15.337431,75.096772
Vehicles are getting stuck due to a pothole on the stretch near Deshpande Nagar Main Road.,Pothole,Low,Deshpande Nagar Main Road,15.372972,75.138668
A big pothole near Hubballi Railway Station Phase 1 is causing traffic jams and minor accidents.,Pothole,Low,Hubballi Railway Station Phase 1,15.362864,75.119928
A big pothole near Old Hubli Bazaar is causing traffic jams and minor accidents.,Pothole,Medium,Old Hubli Bazaar,15.386403,75.100345
Severe road damage with deep potholes at Koppikar Road Park — two-wheeler riders are at risk.,Pothole,Medium,Koppikar Road Park,15.369321,75.134687
A big pothole near Dharwad Road Colony is causing traffic jams and minor accidents.,Pothole,Low,Dharwad Road Colony,15.391648,75.098611
A big pothole near Shivalli Circle Main Road is causing traffic jams and minor accidents.,Pothole,Low,Shivalli Circle Main Road,15.35967,75.129268
A big pothole near Sana Market Circle is causing traffic jams and minor accidents.,Pothole,Low,Sana Market Circle,15.357523,75.14801
Vehicles are getting stuck due to a pothole on the stretch near Deshpande Nagar Junction.,Pothole,Low,Deshpande Nagar Junction,15.353023,75.130762
Vehicles are getting stuck due to a pothole on the stretch near Sana Market Extension.,Pothole,High,Sana Market Extension,15.380464,75.131031
Vehicles are getting stuck due to a pothole on the stretch near Basaveshwar Nagar Phase 1.,Pothole,High,Basaveshwar Nagar Phase 1,15.349092,75.12662
A big pothole near Kelgeri Lake Market is causing traffic jams and minor accidents.,Pothole,Medium,Kelgeri Lake Market,15.376062,75.121695
A big pothole near Ring Road is causing traffic jams and minor accidents.,Pothole,Medium,Ring Road,15.351663,75.145076
Vehicles are getting stuck due to a pothole on the stretch near Gokul Road Lane.,Pothole,Medium,Gokul Road Lane,15.350573,75.140975
Vehicles are getting stuck due to a pothole on the stretch near Police Colony Circle.,Pothole,Low,Police Colony Circle,15.346569,75.100387
Vehicles are getting stuck due to a pothole on the stretch near Idgah Ground Colony.,Pothole,High,Idgah Ground Colony,15.350638,75.102034
A big pothole near Koppikar Road Phase 2 is causing traffic jams and minor accidents.,Pothole,Low,Koppikar Road Phase 2,15.370403,75.142954
Severe road damage with deep potholes at Deshpande Nagar Market — two-wheeler riders are at risk.,Pothole,High,Deshpande Nagar Market,15.376021,75.135484
Vehicles are getting stuck due to a pothole on the stretch near Basaveshwar Nagar Bazaar.,Pothole,Low,Basaveshwar Nagar Bazaar,15.360966,75.129382
Vehicles are getting stuck due to a pothole on the stretch near Station Road Street.,Pothole,Medium,Station Road Street,15.349722,75.09898
Vehicles are getting stuck due to a pothole on the stretch near Appa Ghar Phase 1.,Pothole,Low,Appa Ghar Phase 1,15.335945,75.139386
Severe road damage with deep potholes at Bendre Layout Phase 2 — two-wheeler riders are at risk.,Pothole,Low,Bendre Layout Phase 2,15.380487,75.104011
Vehicles are getting stuck due to a pothole on the stretch near RPF Road Park.,Pothole,Medium,RPF Road Park,15.351389,75.153317
Vehicles are getting stuck due to a pothole on the stretch near Gandhinagar Cross.,Pothole,Low,Gandhinagar Cross,15.392843,75.121701
Severe road damage with deep potholes at Tilakwadi Block — two-wheeler riders are at risk.,Pothole,Medium,Tilakwadi Block,15.340976,75.103149
Vehicles are getting stuck due to a pothole on the stretch near Tilakwadi Phase 2.,Pothole,Medium,Tilakwadi Phase 2,15.374455,75.117527
Vehicles are getting stuck due to a pothole on the stretch near Shivanahalli Block.,Pothole,High,Shivanahalli Block,15.339984,75.108644
Severe road damage with deep potholes at Vidyagiri Block — two-wheeler riders are at risk.,Pothole,Low,Vidyagiri Block,15.384196,75.093569
Severe road damage with deep potholes at Ring Road Phase 1 — two-wheeler riders are at risk.,Pothole,Medium,Ring Road Phase 1,15.345955,75.115207
Severe road damage with deep potholes at Shivanahalli Extension — two-wheeler riders are at risk.,Pothole,Low,Shivanahalli Extension,15.380299,75.105713
A big pothole near Ring Road Street is causing traffic jams and minor accidents.,Pothole,Low,Ring Road Street,15.360987,75.135395
A big pothole near Vidyagiri Junction is causing traffic jams and minor accidents.,Pothole,Low,Vidyagiri Junction,15.371232,75.107858
Severe road damage with deep potholes at Kelgeri Lake Lane — two-wheeler riders are at risk.,Pothole,Low,Kelgeri Lake Lane,15.367835,75.099093
A big pothole near Harolal Road Park is causing traffic jams and minor accidents.,Pothole,Medium,Harolal Road Park,15.341748,75.143429
Vehicles are getting stuck due to a pothole on the stretch near Gandhi Chowk Phase 1.,Pothole,Medium,Gandhi Chowk Phase 1,15.377025,75.118429
Severe road damage with deep potholes at Sanjay Nagar Main Road — two-wheeler riders are at risk.,Pothole,Medium,Sanjay Nagar Main Road,15.367776,75.116515
Vehicles are getting stuck due to a pothole on the stretch near Sindgi Cross Block.,Pothole,Low,Sindgi Cross Block,15.342891,75.097689
Severe road damage with deep potholes at Vasavi Colony Cross — two-wheeler riders are at risk.,Pothole,Medium,Vasavi Colony Cross,15.381963,75.10953
Severe road damage with deep potholes at Unkal Lake — two-wheeler riders are at risk.,Pothole,Low,Unkal Lake,15.384949,75.128295
Severe road damage with deep potholes at Sukhsagar Phase 1 — two-wheeler riders are at risk.,Pothole,Low,Sukhsagar Phase 1,15.361493,75.12256
Vehicles are getting stuck due to a pothole on the stretch near Akash Nagar Market.,Pothole,Low,Akash Nagar Market,15.357333,75.149471
Vehicles are getting stuck due to a pothole on the stretch near Hosayellapur Block.,Pothole,Medium,Hosayellapur Block,15.357678,75.144861
A big pothole near Tilakwadi Phase 1 is causing traffic jams and minor accidents.,Pothole,Medium,Tilakwadi Phase 1,15.363079,75.148306
Severe road damage with deep potholes at Mahamane Layout Phase 1 — two-wheeler riders are at risk.,Pothole,Low,Mahamane Layout Phase 1,15.382244,75.132621
Severe road damage with deep potholes at Dharwad Road Colony — two-wheeler riders are at risk.,Pothole,Low,Dharwad Road Colony,15.342275,75.151421
A big pothole near Akash Nagar Extension is causing traffic jams and minor accidents.,Pothole,Low,Akash Nagar Extension,15.361118,75.125057
A big pothole near KHB Colony Layout is causing traffic jams and minor accidents.,Pothole,Low,KHB Colony Layout,15.359299,75.132787
A big pothole near Dharwad Road Bazaar is causing traffic jams and minor accidents.,Pothole,Medium,Dharwad Road Bazaar,15.392852,75.113814
Severe road damage with deep potholes at Kinnal Road Junction — two-wheeler riders are at risk.,Pothole,Low,Kinnal Road Junction,15.385806,75.14464
Severe road damage with deep potholes at Court Road Park — two-wheeler riders are at risk.,Pothole,Low,Court Road Park,15.372308,75.146746
Vehicles are getting stuck due to a pothole on the stretch near Sanjay Nagar Junction.,Pothole,High,Sanjay Nagar Junction,15.338805,75.13137
A big pothole near Deshpande Nagar Extension is causing traffic jams and minor accidents.,Pothole,Low,Deshpande Nagar Extension,15.360738,75.099407
Vehicles are getting stuck due to a pothole on the stretch near Cotton Market Circle.,Pothole,Low,Cotton Market Circle,15.361321,75.13514
A big pothole near Sanjay Nagar is causing traffic jams and minor accidents.,Pothole,Medium,Sanjay Nagar,15.338067,75.115008
A big pothole near Station Road Park is causing traffic jams and minor accidents.,Pothole,Medium,Station Road Park,15.359423,75.134408
A big pothole near Old Hubli Junction is causing traffic jams and minor accidents.,Pothole,Medium,Old Hubli Junction,15.37127,75.116453
A big pothole near Kinnal Road Extension is causing traffic jams and minor accidents.,Pothole,Medium,Kinnal Road Extension,15.369689,75.107431
Severe road damage with deep potholes at Cotton Market Bazaar — two-wheeler riders are at risk.,Pothole,Medium,Cotton Market Bazaar,15.37471,75.147435
Severe road damage with deep potholes at Shankar Sheth Road Cross — two-wheeler riders are at risk.,Pothole,Low,Shankar Sheth Road Cross,15.344179,75.120004
Vehicles are getting stuck due to a pothole on the stretch near Akash Nagar Bazaar.,Pothole,Medium,Akash Nagar Bazaar,15.392422,75.134919
Severe road damage with deep potholes at KHB Colony Layout — two-wheeler riders are at risk.,Pothole,Medium,KHB Colony Layout,15.357782,75.122492
Severe road damage with deep potholes at Lamington Road Layout — two-wheeler riders are at risk.,Pothole,Low,Lamington Road Layout,15.369189,75.153062
A big pothole near Deshpande Nagar Layout is causing traffic jams and minor accidents.,Pothole,Low,Deshpande Nagar Layout,15.374194,75.109969
Vehicles are getting stuck due to a pothole on the stretch near Moti Talav Extension.,Pothole,Low,Moti Talav Extension,15.393116,75.148137
Severe road damage with deep potholes at Ramnagar Block — two-wheeler riders are at risk.,Pothole,Low,Ramnagar Block,15.388876,75.140044
